Date : 2025-05-23 23:44:58
Directory : c:\Users\fquin\Documents\appweb\BACKEND
Total : 76 files,  2275 codes, 104 comments, 757 blanks, all 3136 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\controladores\ProductoControlador.java      | Java            |         33 |          4 |         12 |         49 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\controladores\ProveedorControlador.java     | Java            |         43 |          0 |         11 |         54 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\controladores\SuministroControlador.java    | Java            |         41 |          0 |         10 |         51 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\controladores\UsuarioControlador.java       | Java            |         82 |         11 |         18 |        111 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\controladores\WebSocketControlador.java     | Java            |          0 |          0 |          1 |          1 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\entidades\DetallePedido.java                | Java            |         26 |          0 |          8 |         34 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\entidades\Domiciliario.java                 | Java            |         26 |          0 |          7 |         33 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\entidades\Envio.java                        | Java            |         31 |          0 |         10 |         41 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\entidades\Factura.java                      | Java            |         58 |          3 |         17 |         78 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\entidades\HistorialVenta.java               | Java            |         29 |          0 |          9 |         38 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\entidades\Inventario.java                   | Java            |         28 |          0 |          8 |         36 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\entidades\Pago.java                         | Java            |         41 |          2 |         13 |         56 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\entidades\Pedido.java                       | Java            |         47 |          0 |         14 |         61 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\entidades\Persona.java                      | Java            |         27 |          0 |          8 |         35 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\entidades\Producto.java                     | Java            |         33 |          0 |         13 |         46 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\entidades\Proveedor.java                    | Java            |         29 |          0 |          9 |         38 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\entidades\Rol.java                          | Java            |         20 |          0 |          7 |         27 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\entidades\Suministro.java                   | Java            |         34 |          0 |         10 |         44 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\entidades\Usuario.java                      | Java            |         32 |          2 |         11 |         45 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\DetallePedidoRepositorio.java   | Java            |          5 |          0 |          6 |         11 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\DomiciliarioRepositorio.java    | Java            |          5 |          0 |          5 |         10 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\EnvioRepositorio.java           | Java            |          5 |          0 |          4 |          9 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\FacturaRepositorio.java         | Java            |          5 |          0 |          5 |         10 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\InventarioRepositorio.java      | Java            |          9 |          0 |          5 |         14 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\PagoRepositorio.java            | Java            |          5 |          0 |          4 |          9 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\PedidoRepositorio.java          | Java            |          9 |          0 |          7 |         16 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\PersonaRepositorio.java         | Java            |          5 |          0 |          4 |          9 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\ProductoRepositorio.java        | Java            |          5 |          0 |          3 |          8 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\ProveedorRepositorio.java       | Java            |          5 |          0 |          5 |         10 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\RolRepositorio.java             | Java            |          7 |          0 |          3 |         10 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\SuministroRepositorio.java      | Java            |          5 |          0 |          5 |         10 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\UsuarioRepositorio.java         | Java            |         13 |          1 |          9 |         23 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\DetallePedidoServicio.java        | Java            |         23 |          0 |         13 |         36 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\DomiciliarioServicio.java         | Java            |         23 |          0 |         10 |         33 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\EnvioServicio.java                | Java            |         23 |          0 |         10 |         33 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\EstadoGlobalServicio.java         | Java            |          0 |          0 |          1 |          1 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\FacturaServicio.java              | Java            |         24 |          1 |          8 |         33 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\InventarioServicio.java           | Java            |         33 |          3 |         11 |         47 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\PagoServicio.java                 | Java            |         23 |          0 |          9 |         32 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\PedidoServicio.java               | Java            |         69 |         11 |         25 |        105 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\PersonaServicio.java              | Java            |         23 |          0 |         10 |         33 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\ProductoServicio.java             | Java            |         39 |          0 |         13 |         52 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\ProveedorServicio.java            | Java            |         43 |          2 |         11 |         56 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\RolServicio.java                  | Java            |         13 |          0 |          4 |         17 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\SuministroServicio.java           | Java            |         92 |         13 |         24 |        129 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\UsuarioServicio.java              | Java            |         36 |          0 |         11 |         47 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\test\java\com\proyectoweb\appweb\AppwebApplicationTests.java                 | Java            |          9 |          0 |          5 |         14 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\test\java\com\proyectoweb\appweb\ProductoServicioIT.java                     | Java            |         74 |          0 |         20 |         94 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\test\java\com\proyectoweb\appweb\UsuarioServicioIT.java                      | Java            |         58 |          7 |         16 |         81 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\test\java\com\proyectoweb\appweb\servicios\DomiciliarioServicioTest.java     | Java            |         66 |          0 |         25 |         91 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\test\java\com\proyectoweb\appweb\servicios\PedidoServicioTest.java           | Java            |         66 |          0 |         26 |         92 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\test\java\com\proyectoweb\appweb\servicios\ProductoServicioTest.java         | Java            |         74 |          0 |         25 |         99 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\test\java\com\proyectoweb\appweb\servicios\ProveedorServicioTest.java        | Java            |         64 |          0 |         26 |         90 |
| c:\Users\fquin\Documents\appweb\BACKEND\src\test\java\com\proyectoweb\appweb\servicios\UsuarioServicioTest.java          | Java            |         31 |          0 |         12 |         43 |
| Total                                                                                                                    |                 |      2,275 |        104 |        757 |      3,136 |
+--------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
